Title,Link
乳腺增生,https://jbk.39.net/rxzs/
冠心病,https://jbk.39.net/gxb/
慢性胃炎,https://jbk.39.net/mxwy/
肾结石,https://jbk.39.net/sjs1/
痛风,https://jbk.39.net/tf/
胃癌,https://jbk.39.net/wa/
脂肪肝,https://jbk.39.net/zfg/
便秘,https://jbk.39.net/bm/
肺结核,https://jbk.39.net/fjh/
失眠症,https://jbk.39.net/smz/
肺炎,https://jbk.39.net/fy/
甲亢,https://jbk.39.net/jk/
坐骨神经痛,https://jbk.39.net/zgsjt/
胃溃疡,https://jbk.39.net/wky/
直肠癌,https://jbk.39.net/zca/
类风湿性关节炎,https://jbk.39.net/lfsxgjy/
心肌梗塞,https://jbk.39.net/xjgs/
低血压,https://jbk.39.net/dxy/
尿毒症,https://jbk.39.net/ndz/
反流性食管炎,https://jbk.39.net/flxsgy/
哮喘,https://jbk.39.net/xc/
白血病,https://jbk.39.net/bxb/
尿道炎,https://jbk.39.net/ndy/
心绞痛,https://jbk.39.net/xjt/
神经衰弱,https://jbk.39.net/sjsr/
偏头痛,https://jbk.39.net/ptt/
幽门螺杆菌感染,https://jbk.39.net/ymlgjgr/
心肌炎,https://jbk.39.net/xjy/
慢性胆囊炎,https://jbk.39.net/mxdny/
拉肚子,https://jbk.39.net/fx/
肝硬化,https://jbk.39.net/gyh/
胰腺炎,https://jbk.39.net/yxy/
过敏性紫癜,https://jbk.39.net/gmxzd/
胃疼,https://jbk.39.net/zhengzhuang/wt/
高血压,https://jbk.39.net/gxy/
肠梗阻,https://jbk.39.net/cgz/
心脏病,https://jbk.39.net/xzb/
低血糖,https://jbk.39.net/dxt/
小儿发烧,https://jbk.39.net/xefs/
猪流感,https://jbk.39.net/jxh1n1lg/
慢性肾炎,https://jbk.39.net/mxsy/
小儿肺炎,https://jbk.39.net/xefy/
胆囊炎,https://jbk.39.net/dny/
动脉硬化,https://jbk.39.net/dmyh/
流感,https://jbk.39.net/lhxgm/
风湿性关节炎,https://jbk.39.net/fsxgjy/
头晕,https://jbk.39.net/zhengzhuang/ty/
焦虑症,https://jbk.39.net/jlz/
脱发,https://jbk.39.net/tf1/
肚子疼,https://jbk.39.net/zhengzhuang/ft/
肾积水,https://jbk.39.net/sjs/
婴幼儿腹泻,https://jbk.39.net/yyefx/
